CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,INDUSTRIAL_CLASS,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,REGISTERED_OFFICE_ADDRESS,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,LATEST_YEAR_ANNUAL_RETURN,LATEST_YEAR_FINANCIAL_STATEMENT
F06407,GFA Consulting Group GmbH   ,ACTV,NA,NA,NA,17-01-2019,Manipur,0,0,NA,Agriculture & allied,FOREST COMPLEX MAIN BUILDINGP.O. MANTRIPUKHRI  ,ROC DELHI,manohar.shrestha@gfa-group.de,NA,NA
L65929MN1987PLC002802,NEW MILLENIUM HEALTH CARE PRODUCTS & EQUIPMENT LIMITED  ,STOF,Public,Company limited by Shares,Non-govt company,20-11-1987,Manipur,220000000,220000000,65929,Financial intermediation,"DHARAMSALA ROAD,   ",ROC SHILLONG,NA,NA,NA
U01100MN2016PTC013499,BOTWAYS FARMER PRODUCER COMPANY LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,03-11-2016,Manipur,1500000,200000,1100,Agriculture & allied,KHABUNG KARONGPO&PS - SENAPATI  ,ROC SHILLONG,hlnhreikhenamai@gmail.com,NA,NA
U01100MN2016PTC013508,SIDAYAI CHENGUM PRODUCER COMPANY LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,26-12-2016,Manipur,1500000,200000,1100,Agriculture & allied,SINGJAMEI CHINGAMAKHAMAISNAM LEIKAI  ,ROC SHILLONG,ougricpl@gmail.com,NA,NA
U01100MN2017PTC013597,RUWMEE ORGANIC PRODUCER COMPANY LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,31-10-2017,Manipur,1500000,200000,1100,Agriculture & allied,KOMLATHABI VILLAGE   ,ROC SHILLONG,ougricpl@gmail.com,NA,NA
U01100MN2017PTC013598,CHINGAREL ORGANIC PRODUCER COMPANYLIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,06-11-2017,Manipur,1000000,100000,1100,Agriculture & allied,C/O. GREEN FOUNDATIONKWAKEITHEL THIYAM LEIKAI  ,ROC SHILLONG,chingarel.organic@gmail.com,31-03-2018,31-03-2018
U01100MN2017PTC013611,CHING TAM ORGANIC PRODUCER COMPANYLIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,19-12-2017,Manipur,1000000,10000,1100,Agriculture & allied,"Thangmeiband Meisnam Leikai,P.O.-Imphal, P.S.-Lamphel, Paona Bazar,  ",ROC SHILLONG,dhanabir202@gmail.com,31-03-2018,31-03-2018
U01100MN2018OPC013659,ATHOILEN FOOD INDUSTRIES (OPC) PRIVATELIMITED  ,ACTV,Private(One Person Company),Company limited by Shares,Non-govt company,12-04-2018,Manipur,1000000,500000,1100,Agriculture & allied,"C/O. THANGJAM PRIYANKA DEVIIED-IV, 61-4-NB  ",ROC SHILLONG,OUGRICPL@GMAIL.COM,NA,NA
U01100MN2018PTC013618,REANGLUANG ORGANIC FARMERS PRODUCERCOMPANY LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,01-01-2018,Manipur,1000000,10000,1100,Agriculture & allied,LONGMAI (NONEY) 1NUNGBA SUBDIVISION  ,ROC SHILLONG,awoyo.lungleng@gmail.com,NA,NA
U01100MN2018PTC013700,MATIK MANGAAL PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,26-06-2018,Manipur,1000000,100000,1100,Agriculture & allied,"C/O. T. SUBHASH SINGH, IED-IIPSP-362(LSD2) LANGOL GAME VILLAGE  ",ROC SHILLONG,ougricpl@gmail.com,NA,NA
